timestamp,load1,load5,load15,mem_available_kib,swap_free_kib,process_tree_count,process_tree_rss_mib,docker_running_count
2026-09-17T12:26:42.419612+00:00,5.70,5.82,4.89,61936305,0,10,192.05,2
2026-09-17T12:26:47.563541+00:00,5.72,5.83,4.90,61967317,0,10,192.73,2
2026-09-17T12:26:52.650093+00:00,5.42,5.76,4.88,61968859,0,10,192.77,2
2026-09-17T12:26:57.801903+00:00,5.07,5.68,4.86,61948787,0,10,204.30,2
2026-09-17T12:27:02.969259+00:00,4.90,5.64,4.85,62043664,0,10,190.91,2
2026-09-17T12:27:08.077511+00:00,5.07,5.66,4.86,62042361,0,10,193.70,2
2026-09-17T12:27:13.214846+00:00,5.54,5.75,4.89,62002494,0,7,172.10,2
2026-09-17T12:27:18.361911+00:00,6.14,5.87,4.94,61954887,0,7,103.91,2
2026-09-17T12:27:23.503224+00:00,5.89,5.82,4.93,61963801,0,8,184.37,2
2026-09-17T12:27:28.655685+00:00,5.66,5.77,4.92,61970472,0,11,194.15,2
2026-09-17T12:27:33.795877+00:00,5.37,5.71,4.90,61945475,0,11,207.40,2
2026-09-17T12:27:38.913539+00:00,5.26,5.68,4.90,61996553,0,7,117.37,2
2026-09-17T12:27:44.052368+00:00,5.48,5.72,4.91,61857475,0,8,173.47,2
2026-09-17T12:27:49.209859+00:00,5.44,5.71,4.91,61969550,0,12,236.97,2
2026-09-17T12:27:54.377911+00:00,5.64,5.75,4.93,62025689,0,7,129.36,2
2026-09-17T12:27:59.514837+00:00,5.51,5.72,4.92,61986898,0,7,177.34,2
2026-09-17T12:28:04.655814+00:00,6.27,5.87,4.98,61995397,0,7,130.11,2
2026-09-17T12:28:09.800851+00:00,6.25,5.87,4.98,61935644,0,7,178.04,2
2026-09-17T12:28:14.942845+00:00,6.07,5.84,4.98,61972889,0,7,178.05,2
2026-09-17T12:28:20.085953+00:00,5.66,5.76,4.96,61844361,0,10,201.35,2
2026-09-17T12:28:25.194018+00:00,5.53,5.73,4.95,61962183,0,7,180.54,2
2026-09-17T12:28:30.334353+00:00,6.05,5.84,4.99,61963188,0,7,181.97,2
2026-09-17T12:28:35.477971+00:00,5.80,5.79,4.98,61995280,0,7,131.99,2
2026-09-17T12:28:40.623052+00:00,5.66,5.76,4.97,62051735,0,10,191.89,2
2026-09-17T12:28:45.761083+00:00,5.54,5.74,4.97,61952579,0,10,202.60,2
2026-09-17T12:28:50.899855+00:00,5.50,5.72,4.97,61984231,0,7,172.84,2
2026-09-17T12:28:56.078755+00:00,5.38,5.69,4.97,61936034,0,10,196.96,2
2026-09-17T12:29:01.216846+00:00,5.91,5.80,5.01,61961250,0,10,196.97,2
2026-09-17T12:29:06.314090+00:00,5.59,5.74,4.99,61932055,0,10,200.52,2
2026-09-17T12:29:11.457064+00:00,5.55,5.72,4.99,61921503,0,10,194.77,2
2026-09-17T12:29:16.596719+00:00,5.50,5.71,4.99,62055016,0,7,175.43,2
2026-09-17T12:29:21.681733+00:00,5.38,5.68,4.99,62073190,0,7,174.08,2
2026-09-17T12:29:26.802799+00:00,5.35,5.67,4.99,61886295,0,10,201.82,2
2026-09-17T12:29:31.889194+00:00,5.24,5.64,4.98,61853318,0,10,202.19,2
2026-09-17T12:29:37.031872+00:00,4.98,5.58,4.97,61926323,0,10,197.30,2
2026-09-17T12:29:42.174060+00:00,5.06,5.59,4.97,61963139,0,7,129.65,2
2026-09-17T12:29:47.317193+00:00,5.46,5.66,5.00,61937453,0,10,198.14,2
2026-09-17T12:29:52.456363+00:00,5.42,5.65,5.00,61950305,0,10,200.29,2
2026-09-17T12:29:57.602705+00:00,5.31,5.62,4.99,61964961,0,10,192.61,2
2026-09-17T12:30:02.708603+00:00,5.20,5.60,4.99,61887199,0,10,204.32,2
2026-09-17T12:30:07.777564+00:00,5.19,5.59,4.99,62033244,0,8,130.40,2
2026-09-17T12:30:12.838506+00:00,5.17,5.58,4.99,61988521,0,7,130.77,2
2026-09-17T12:30:17.917118+00:00,5.00,5.53,4.98,62014631,0,6,85.33,2
2026-09-17T12:30:23.050146+00:00,5.32,5.59,5.00,61971572,0,10,197.24,2
2026-09-17T12:30:28.194876+00:00,5.05,5.53,4.98,61900674,0,10,194.11,2
2026-09-17T12:30:33.327916+00:00,5.13,5.54,4.99,61844358,0,10,207.30,2
2026-09-17T12:30:38.472289+00:00,4.88,5.48,4.97,61968572,0,7,175.48,2
2026-09-17T12:30:43.625337+00:00,4.65,5.42,4.96,61964275,0,10,198.25,2
2026-09-17T12:30:48.726843+00:00,4.51,5.38,4.95,62046341,0,10,203.77,2
2026-09-17T12:30:53.869119+00:00,4.31,5.32,4.93,61983382,0,10,197.52,2
2026-09-17T12:30:58.989630+00:00,4.37,5.32,4.93,61967069,0,10,196.86,2
2026-09-17T12:31:04.130176+00:00,5.62,5.56,5.01,61828135,0,10,207.41,2
2026-09-17T12:31:09.239497+00:00,5.49,5.54,5.01,61809798,0,10,197.83,2
2026-09-17T12:31:14.334599+00:00,5.29,5.49,5.00,61945352,0,10,195.36,2
2026-09-17T12:31:19.470374+00:00,5.19,5.47,4.99,61923062,0,10,201.99,2
2026-09-17T12:31:24.602336+00:00,4.93,5.41,4.97,61951982,0,10,200.26,2
2026-09-17T12:31:29.677966+00:00,4.70,5.35,4.96,62087719,0,1,0.00,2
