timestamp,load1,load5,load15,mem_available_kib,swap_free_kib,validation_process_count,validation_tree_rss_mib,docker_running_count
2026-09-17T13:31:12.921822+00:00,6.37,6.02,5.43,61922300,0,10,194.64,2
2026-09-17T13:31:14.067750+00:00,6.37,6.02,5.43,61988420,0,10,191.96,2
2026-09-17T13:31:15.217971+00:00,6.37,6.02,5.43,62001715,0,7,177.69,2
2026-09-17T13:31:16.368479+00:00,6.37,6.02,5.43,62017676,0,10,185.67,2
2026-09-17T13:31:17.483293+00:00,6.83,6.12,5.47,61888367,0,6,128.33,2
2026-09-17T13:31:18.630137+00:00,6.83,6.12,5.47,61885230,0,10,195.08,2
2026-09-17T13:31:19.763957+00:00,6.83,6.12,5.47,61957023,0,10,194.51,2
2026-09-17T13:31:20.903550+00:00,6.83,6.12,5.47,62017712,0,10,195.74,2
2026-09-17T13:31:22.056187+00:00,6.60,6.08,5.46,62017307,0,10,204.14,2
2026-09-17T13:31:23.198255+00:00,6.60,6.08,5.46,62014095,0,7,171.81,2
2026-09-17T13:31:24.319080+00:00,6.60,6.08,5.46,62003271,0,10,199.25,2
2026-09-17T13:31:25.436698+00:00,6.60,6.08,5.46,62020185,0,7,172.38,2
2026-09-17T13:31:26.576754+00:00,6.47,6.06,5.45,62015786,0,10,186.45,2
2026-09-17T13:31:27.719477+00:00,6.47,6.06,5.45,61964991,0,10,194.59,2
2026-09-17T13:31:28.860600+00:00,6.47,6.06,5.45,61988510,0,10,195.11,2
2026-09-17T13:31:30.003515+00:00,6.47,6.06,5.45,62007869,0,10,196.15,2
2026-09-17T13:31:31.147749+00:00,6.47,6.06,5.45,62014548,0,10,195.29,2
2026-09-17T13:31:32.285501+00:00,6.35,6.04,5.45,62013849,0,10,196.5,2
2026-09-17T13:31:33.418693+00:00,6.35,6.04,5.45,62001573,0,10,196.43,2
2026-09-17T13:31:34.540501+00:00,6.35,6.04,5.45,62008213,0,10,204.35,2
2026-09-17T13:31:35.689993+00:00,6.35,6.04,5.45,62030791,0,10,193.77,2
2026-09-17T13:31:36.834278+00:00,6.08,5.99,5.44,62046849,0,6,128.7,2
2026-09-17T13:31:37.971896+00:00,6.08,5.99,5.44,61928517,0,10,204.96,2
2026-09-17T13:31:39.055338+00:00,6.08,5.99,5.44,62064704,0,6,128.7,2
2026-09-17T13:31:40.199762+00:00,6.08,5.99,5.44,62126193,0,6,117.36,2
2026-09-17T13:31:41.359156+00:00,6.08,5.99,5.44,62111022,0,10,200.71,2
