timestamp,load1,load5,load15,mem_available_kib,swap_free_kib,validation_process_count,validation_tree_rss_mib,docker_running_count
2026-09-17T12:36:10.772896+00:00,6.24,6.25,5.49,61849657,0,12,313.26,2
2026-09-17T12:36:15.876192+00:00,5.81,6.16,5.47,61837962,0,15,360.40,2
2026-09-17T12:36:21.073303+00:00,5.82,6.15,5.47,61716156,0,15,357.14,2
2026-09-17T12:36:26.270655+00:00,5.68,6.12,5.46,61783470,0,15,380.25,2
2026-09-17T12:36:31.478149+00:00,5.78,6.13,5.47,61820217,0,16,411.31,2
2026-09-17T12:36:36.573627+00:00,5.72,6.11,5.47,61829086,0,16,370.09,2
2026-09-17T12:36:41.709706+00:00,5.50,6.06,5.46,61925435,0,12,346.38,2
2026-09-17T12:36:46.823864+00:00,5.46,6.04,5.45,61853281,0,16,370.57,2
2026-09-17T12:36:51.907734+00:00,5.59,6.06,5.46,61828221,0,15,345.47,2
2026-09-17T12:36:57.130106+00:00,5.86,6.11,5.48,61729408,0,14,318.99,3
2026-09-17T12:37:02.299078+00:00,6.43,6.22,5.52,61797205,0,12,297.02,3
2026-09-17T12:37:07.538235+00:00,6.40,6.22,5.52,61843618,0,13,289.64,3
2026-09-17T12:37:12.726469+00:00,6.45,6.23,5.53,61864420,0,10,268.43,3
2026-09-17T12:37:17.952558+00:00,6.89,6.33,5.57,61752131,0,12,300.92,3
2026-09-17T12:37:23.083196+00:00,6.58,6.27,5.55,61813844,0,12,300.74,3
2026-09-17T12:37:28.236956+00:00,6.69,6.30,5.57,61790698,0,11,265.63,5
2026-09-17T12:37:33.501206+00:00,7.12,6.40,5.60,61840622,0,15,323.91,6
2026-09-17T12:37:38.725351+00:00,7.43,6.47,5.63,61796282,0,13,292.41,6
2026-09-17T12:37:43.899128+00:00,7.39,6.48,5.64,61728032,0,16,436.15,2
2026-09-17T12:37:49.106371+00:00,7.20,6.46,5.63,61806598,0,16,420.55,2
2026-09-17T12:37:54.374953+00:00,7.27,6.48,5.65,61822546,0,15,365.62,2
2026-09-17T12:37:59.474810+00:00,7.00,6.44,5.64,61869261,0,14,294.11,2
2026-09-17T12:38:04.678625+00:00,6.76,6.40,5.63,61657439,0,15,342.57,2
2026-09-17T12:38:09.822272+00:00,6.54,6.36,5.62,61778953,0,12,342.71,2
2026-09-17T12:38:14.999861+00:00,6.26,6.30,5.61,61798241,0,19,436.18,2
2026-09-17T12:38:20.172877+00:00,6.56,6.37,5.63,61847450,0,16,410.63,2
2026-09-17T12:38:25.305279+00:00,6.59,6.38,5.64,61820278,0,12,288.14,2
2026-09-17T12:38:30.526871+00:00,6.31,6.32,5.62,61778346,0,20,432.77,2
2026-09-17T12:38:35.698961+00:00,6.20,6.30,5.62,61785592,0,20,434.86,2
2026-09-17T12:38:40.802451+00:00,6.18,6.29,5.62,61699336,0,14,345.18,2
2026-09-17T12:38:45.899817+00:00,6.14,6.28,5.63,61783797,0,20,428.06,2
2026-09-17T12:38:51.128047+00:00,5.97,6.25,5.62,61785120,0,17,410.95,2
2026-09-17T12:38:56.327976+00:00,5.89,6.22,5.61,61888835,0,12,356.04,2
2026-09-17T12:39:01.485876+00:00,6.70,6.39,5.67,61886599,0,15,371.89,2
2026-09-17T12:39:06.598902+00:00,6.49,6.35,5.66,61867868,0,11,291.04,2
2026-09-17T12:39:11.714149+00:00,6.37,6.32,5.66,61694223,0,15,375.42,2
2026-09-17T12:39:16.936374+00:00,6.10,6.27,5.64,61807259,0,15,373.18,2
2026-09-17T12:39:22.049221+00:00,6.33,6.31,5.66,61816055,0,16,413.66,2
2026-09-17T12:39:27.235281+00:00,6.06,6.26,5.65,61777109,0,16,420.44,2
2026-09-17T12:39:32.321546+00:00,5.98,6.24,5.64,61805636,0,16,424.30,2
2026-09-17T12:39:37.513437+00:00,5.66,6.17,5.62,61838027,0,12,304.77,2
2026-09-17T12:39:42.692539+00:00,5.53,6.13,5.61,61763474,0,19,441.57,2
2026-09-17T12:39:47.877621+00:00,5.32,6.08,5.60,61802852,0,12,342.92,2
2026-09-17T12:39:52.968800+00:00,5.30,6.06,5.60,61836424,0,16,337.52,2
2026-09-17T12:39:58.057461+00:00,5.51,6.09,5.61,61847896,0,16,334.63,2
2026-09-17T12:40:03.326934+00:00,5.87,6.16,5.63,61873252,0,11,278.98,2
2026-09-17T12:40:08.530105+00:00,5.96,6.17,5.64,61802216,0,12,273.21,2
2026-09-17T12:40:13.735647+00:00,6.05,6.19,5.65,61862484,0,13,296.98,2
2026-09-17T12:40:18.982083+00:00,6.28,6.23,5.67,61842593,0,16,321.26,2
2026-09-17T12:40:24.159066+00:00,6.58,6.30,5.69,61933721,0,14,294.19,2
2026-09-17T12:40:29.359571+00:00,6.53,6.29,5.69,61936398,0,13,292.58,2
2026-09-17T12:40:34.458123+00:00,6.57,6.30,5.70,61842449,0,12,280.97,2
2026-09-17T12:40:39.666221+00:00,6.53,6.30,5.70,61857265,0,14,301.27,2
2026-09-17T12:40:44.953734+00:00,6.16,6.23,5.68,61868501,0,11,241.05,2
2026-09-17T12:40:50.152599+00:00,5.91,6.17,5.67,61869178,0,10,225.78,2
2026-09-17T12:40:55.284035+00:00,6.80,6.35,5.73,61766611,0,15,314.35,2
2026-09-17T12:41:00.370286+00:00,6.49,6.30,5.71,61858871,0,10,228.47,2
2026-09-17T12:41:05.569152+00:00,7.10,6.42,5.76,61879818,0,10,228.88,2
2026-09-17T12:41:10.730028+00:00,7.65,6.55,5.80,61930966,0,11,291.70,2
2026-09-17T12:41:15.916039+00:00,7.44,6.52,5.80,61930309,0,15,313.97,2
2026-09-17T12:41:21.143619+00:00,7.07,6.48,5.79,61880424,0,13,282.33,2
